customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,kfold
5307-DZCVC,Female,1,Yes,No,0.4366197183098592,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.6736318407960199,0.3011539349180706,Yes,4
2167-FQSTQ,Female,0,Yes,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,0.7378109452736319,0.7809023771059312,No,3
9944-HKVVB,Female,0,No,No,0.028169014084507,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.7646766169154228,0.0333025617355181,Yes,3
4607-CHPCA,Male,0,Yes,Yes,0.3380281690140845,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,0.7179104477611941,0.2492268636048926,Yes,2
3128-YOVTD,Female,0,Yes,Yes,0.7042253521126761,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.6059701492537314,0.4615451188552966,No,2
5542-NKVRU,Female,0,No,No,0.5774647887323944,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),0.0248756218905472,0.0952746365105008,No,4
6784-XYJAE,Female,0,No,No,0.4929577464788732,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,0.3736318407960198,0.2218670666974382,No,3
4547-KQRTM,Female,0,No,No,0.1267605633802817,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.6149253731343283,0.0936879759981537,Yes,0
7602-DBTOU,Female,0,Yes,No,0.9859154929577464,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,0.0134328358208955,0.1612854834987306,No,1
3801-HMYNL,Male,0,Yes,Yes,0.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,0.7054726368159204,0.0081179321486268,Yes,1
5115-SQAAU,Female,0,Yes,Yes,0.9577464788732396,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),0.0731343283582089,0.1909300715439649,No,2
1251-KRREG,Male,0,No,No,0.0140845070422535,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,0.3597014925373134,0.010996999769213,Yes,4
8486-AYEQH,Female,0,No,No,0.4225352112676057,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5751243781094527,0.2549042234018001,No,2
7530-HDYDS,Female,0,No,No,0.5211267605633804,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),0.6567164179104478,0.3745326563581814,Yes,0
